index,label,n_failed,error_type,models_failed,song,artists,lyrics
282,0,5,FP,"regex,roberta,llama,qwen,bert",Stick Talk,['Future'],"Stick Talk Lyrics Took a shot of Henny  I've been going brazy  brazy They say my whole hood got it under investigation They know they talk that stick talk  that stick talk They know we talk that lick talk  that lick talk10 million dollars cash  fuck a friend Started sipping syrup  I've been geeked ever since Gotta keep that heat on the seat ever since You know we talk that stick talk  that stick talk I'm 'bout to fuck this cash up on a new toy'Bout to fuck this cash up on a new toy You can't understand us ‘cause you're too soft Taliban bands  run 'em straight through the machinery They came through with a stick and you heard it They came through in this bitch and they were swerving I can't believe the blood ain't on my shirt Because he got hit close-range We be talking stick talk  we be talking bricks too We be talking lick talk  and I'ma fuck your bitch too I ain't got no manners for no sluts I'ma put my thumb in her butt Took a shot of Henny  I've been going brazy  brazy They say my whole hood got it under investigation They know they talk that stick talk  that stick talk They know we talk that lick talk  that lick talk I'm 'bout to fuck this cash up on a new toy'Bout to fuck this cash up on a new toy You can't understand us ‘cause you're too soft Taliban bands  run 'em straight through the machinery I'ma tell a lie under oath I can see it in your eyes  you're going broke Oxycontin got her with a body count Riding in a car I barely can pronounce Ordered up a chauffeur  told him  ""ride me round the whole world""I was on the E-way with that molly and that old girl Get a little cheaper  you could win Hit it little harder  get the Benz You might also like10 million dollars cash  fuck a friend Started sipping syrup  I've been geeked ever since Gotta keep that heat on the seat ever since You know we talk that stick talk  that stick talk I'm 'bout to fuck this cash up on a new toy'Bout to fuck this cash up on a new toy You can't understand us ‘cause you're too soft Taliban bands  run 'em straight through the machinery Fully loaded whip tote fully loaded clips Fucking with my niggas  I'll smoke a zip Red eyes  and I got them Zoes with me Taliban bands  run 'em straight through the machinery Took a shot of Henny  I've been going brazy  brazy They say my whole hood got it under investigation They know they talk that stick talk  that stick talk They know we talk that lick talk  that lick talk10 million dollars cash  fuck a friend Started sipping syrup  I've been geeked ever since Gotta keep that heat on the seat ever since You know we talk that stick talk  that stick talk58Embed"
312,0,5,FP,"regex,roberta,llama,qwen,bert",Congratulations,"['Don Diablo', {'label': 'spotify:artist:5uEeqYFuIChoWKy34jp8xE'}]",Congratulations Lyrics Dreaming Dreaming about the days that we could Take me Take me back to music in my room All my life I've been searching Looking for something perfect That only led me back to blue Might be a little broken But I've got my eyes wide open I'm gonna say it till it's true Lately  I've been stable I don't need no label Fuck congratulations No more expectations Don't care about my FOMOI've been riding solo So congratulations So congratulations Daily Daily I've been reaching for the stars Made it Made it but I almost got so far All my life I've been searching Looking for something perfect That only led me back to blue Might be a little broken But I've got my eyes wide open I'm gonna say it till it's true You might also like Lately  I've been stable I don't need no label Fuck congratulations No more expectations Don't care about my FOMOI've been riding solo So congratulations So congratulations Ooh  ooh  ooh Can't do this over again and over again and over again I know it's hard to admit  it's hard to admit  it's hard to admit It's half quarter past ten  I wanna give in  I wanna give in Can't do this over again and over again Lately  I've been stable I don't need no label Fuck congratulations No more expectations Don't care about my FOMOI've been riding solo So congratulations So congratulations Lately  I've been stable I don't need no label Fuck congratulations No more expectations Don't care about my FOMOI've been riding solo So congratulations So congratulations2Embed
314,0,5,FP,"regex,roberta,llama,qwen,bert",I Got Love,"['Nate Dogg', 'Don Diablo']",I Got Love Lyrics I got love... I got love...I got love... I got love...I got love - I  got  love  for  my homies who be rollin wit me Play no game - play  no  games  cause  ain't nobody playin with me I got love - I  got  love  for my niggas on my family tree I got love - love for the ghetto  down for whatever If you was down before  then you still gon' be down with me I got game - I  got  game  cause  the game was given to me Say my name - say  my  name  cause  ain't nobody tighter than me Give it up - give  it  up  if  you like the way I'm rocking this beat I don't know - know nuttin better  chasin my chedder If you in love with a whore -- you ain't never listened to me Wah-ooooh  ooooh  oooh  oooh oooh oooh oooh oooh Wah-ooooh  ooooh  oooh  oooh oooh oooh oooh oooh Wah-ooooh  ooooh  oooh  oooh oooh oooh oooh oooh Wah-ooooh Captain save - cap-tain  save  a  hooker cause she hangin on me She can't hang - she  can't  hang  cause I ain't lookin fo' a wifey Just in case - just  in  case  I  better take a weapon wit me And these hoes - hoes keep cover  down for whatever If she stress me some more  I have to leave her dead in the street Run me how? Run  me  how? Cause  haters they be all in the mix And they know - where  they  go-in  ain't gon' get no better than this Can't they see? Can't  they  see  we  ain't some niggas they wanna diss?D.P.G. - though I'll love a trick never  treat a bitch never I told you before  so you better not be fuckin with me Wah-ooooh  ooooh  oooh  oooh oooh oooh oooh oooh Wah-ooooh  ooooh  oooh  oooh oooh oooh oooh oooh Wah-ooooh  ooooh  oooh  oooh oooh oooh oooh oooh Platinum chains - plat-inum  chains  is  all you ever see on my neck Diamond ring - dia-mond  rings  as  long as I can keep her in check All the same - all  the  same  as  long as you don't ever forget I was taught in the ghetto  wear the tight bellow If she head for the stash  I always got this pistol with me Constantly we bustin' to a hell of a beat Then we came - then  we  came  cause  the bass'll knock you off of your feet Just that deep - just  that  deep  I  betcha we be movin ya feet Voice kinda mellow  place from the ghetto If you still want some more  go and get the fuckin CDYou might also like I got love... I got love...I got love... I got love...I got love... I got love...7Embed
324,0,5,FP,"regex,roberta,llama,qwen,bert",Shut It Down,"['Drake', {'label': 'spotify:artist:1W3FSF1BLpY3hlVIgvenLz'}]",Shut It Down Lyrics Hey  oh-oh These girls ain't got nothing on you Uh  say baby  I had to mention That if you were a star  you'd be the one I'm searching for Other girls they  they got attention But I just always feel like they're in need of something you got It's obvious you're pretty Heard that you're a student working weekends in the city Tryna take you out girl  hope you're not too busy And if there's nothing wrong  got this little song For you to get ready to  put those fucking heels on and work it girl Let that mirror show you what you're doing Put that fucking dress on and work it kind of vicious Like somebody's taking pictures Shut it down  down  down You would shut it down  down  down You'd be the baddest girl around  'round  'round And they'd notice  they'd notice You would shut it down  down  down You would shut it down  down  down You'd be the baddest girl around  'round  'round And they'd notice  they'd notice You would shut it—Hey  oh-oh These girls ain't got nothing on you They ain't got nothing on you They ain't got nothing on you  Ki-Killa  Killa Uh  girl you the greatest And if he say you ain't  girl he's out his mind You the finest And if he say you ain't  that boy done lost his mind Hey baby  every time you come around Shutting it down like computers Hey lady  step into my heart And let me put you in them Louboutins What you want  what you need I can be  your everything Them other niggas just wanna hit it But if they had it  wouldn't know what to do with it You might also like And together  we shut it down  down  down They know we'd shut it down You would shut it down  down  down You'd be the baddest girl around  round  round And they'd notice  they'd notice You would shut it down  down  down They know we'd shut it down You would shut it down  down  down Every time we come around  round  round  And they'd notice  they'd notice They'd know you shut it down TMZ  Concrete Loop You shut that motherfucker down  down Ice cream conversations  they all want the scoop You shut that motherfucker down  down Shooting stars all around her  fire  comets I could bring her through and shut 'em down  Onyx No  you're not imagining  they're looking at you long stares Even though she's standing out she look like she belongs here You feel the hours pass  until ya find somethin'I feel like when she moves  the time doesn't Yeah  baby you finer than your fine cousin  and your cousin fine But she ain't got my heart beating double time You just shut it down girl  who told the cops where the party was?Why do I feel like I found the one?What's in these shots that you ordered us?Damn  I mean you sure know how to paint a town Ever since you came around  it's obvious—You shut that thing down  you shut it down Down  down  down You shut it down  you shut it down Down  down  down You shut it down  you shut it down You'd be the baddest girl around  'round  'round You shut it  oh  oh And they'd notice  they'd notice You looking good girl  go  go  go get 'em girl Go  go  go hit 'em girl  go  go  go  go  go  go You looking good girl  go  go  go get 'em girl Go  go  go hit 'em girl  go  go  go  go  go  go You shut it down You shut it down  down  down  down  down...The way I’m feeling  things I say All just happen  when you pass my way  oh What can I do  to make you stay?I know it’s getting late  but girl  I don’t want you to leave You tell me you’re just not the type  you wanna do this right And I’m not tryna say I don’t believe you But I refuse to feel ashamed  and if you feel the same Does waiting really make us better people?Take those fucking heels off  it’s worth it  girl Nothing is what I can picture you in So take that fucking dress off  I swear you won’t forget me You’ll be happy that you let me Lay you down  down  down I’m tryna lay you down  down  down You still the baddest girl around  'round  'round They'd notice  they'd notice Let me lay you down  down  down Tryna lay you down  down  down You still the baddest girl around  'round  'round And they'd notice  they'd notice You would shut it48Embed
329,1,5,FN,"regex,roberta,llama,qwen,bert",Learn You,"['Joell Ortiz', {'label': 'spotify:artist:0CKa42Jqrc9fSFbDjePaXP'}]",Learn You Lyrics I know that I missed out on her Sorry that I'm never here I tried to get everything you wanted I hope you know I really cared To learn you now  to learn you now To learn you now  to learn you now To learn you now To learn you now  lemme learn  lemme learn you now I know that I missed out on her Sorry that I’m never here I tried to get everything you wanted I hope you know I really cared To learn you now  to learn you now To learn you now  to learn you now To learn you now To learn you now   lemme learn  lemme learn you now Had to chase this dream  I was on my grind Workin' on my craft took up all my time I gotta beware  I’m near at the drop of a dime But through all my travels y'all stayed on my mind My two lil' boys  two pieces of me My two looks in the mirror  my two reasons to be Sorry I didn't go them places I needed to be Trips that I missed with your school Games I ain't root for your team Feels like yesterday I would wake up to your screams Y'all was cryin' for bottles  when did y'all turn into teens?Tryna grow mustaches  peach fuzz look clean Your voices got deeper  make sure you say what you mean Happy y’all don’t say y'all hate me for all the time I was away What good was the toys if I never stayed there to play?I’m askin' you both for forgiveness  can we start over today?Y'all don't have to answer that now  I just wanted to say I know that I missed out on her Sorry that I’m never here I tried to get everything you wanted I hope you know I really cared To learn you now  to learn you now To learn you now  to learn you now To learn you now To learn you now Lemme learn  lemme learn you now You might also like I would stare at y'all pictures on the bus after shows It was rough on the road  must have been tougher at home Even on the west  I'm movin'  but that bus driver know Find me that Western Union  I'd send your mother some dough I'd try to find time whenever I was alone To try to get y'all on the phone just to see what's goin' on Y'all ain't lil' boys no more  look at how much you have grown My youngest one taller than me  my oldest my skinnier clone I know that I missed out on you Bothers me down to my soul  my lifestyle was out of control Replaced time with the money  trade that I tried to barter So your daddy would pop up  but I ain't show up as your father Prayin' y'all let me change that  I have so much to offer Life will come at you at godspeed  please use my ears as the altar I'm askin' you both for forgiveness  can we start over today?Y'all don't have to answer that now  I just wanted to say I know that I missed out on her Sorry that I'm never here I tried to get everything you wanted I hope you know I really cared To learn you now  to learn you now To learn you now  to learn you now To learn you now To learn you now Embed
338,0,5,FP,"regex,roberta,llama,qwen,bert",We Slum,['Yelawolf'],We Slum Lyrics Please don't make me Please don't make me take off the safety I run things  see  things don't run me Stuck in the bottom of the bottom  nigga You don't want no problems 'cause I'm gon' to get 'em  got 'em Beam down  red dot 'em  I'm serving Red Robins Just as soon as I spot 'em  adios  he hauled it You know Fatt  he 'bought it  matter fact  reroute it'Fore I send them bullets flyin'  crashin' like I killed the pilot They gon' have to X-File it  another nigga missing Where he at? Shit  I don't know  Tupelo  Mississippi Hey  somebody better help him or they gon' have to ship him To the ER to see Abby  baby girl gon' snitch him Throwing hundreds like I'm pitchin'  I got it  I'm a rich one Bet whatever I'm leaving this motherfucker with a thick one I don't know you  bitch  you trippin'  bust this nut and I'm dippin'Out of sight  out of mind  another fucking dimension I'm a nut with this pimpin'  hit it up  Hoover Crippin'Shawty motherfuckin' Fatt  the potbelly mack back We slum Please don't make me take off the safety I run things  see  things don't run me We slum Please don't make me take off the safety I run things  see  things don't run me We slum Please don't make me take off the safety Please don't make me take off the safety Please don't make me take off the safety I run things  see  things don't run me We slum You might also like Please don't make me take off that safety Killers on front street  'Bama gone crazy This the shit they did to me  that's the shit that made me Weezy threw a pack out  I ran it up through 8th Street Bought it out by carvin'  dodging black Chargers Made it out the mud puddle  now I hustle smarter Ran up with them sticks out  boy  you know what this 'bout New rock  kilos stuffed in the tube sock Straight drop  I'm hungry whether I ate or not It's fuck cops  a hundred orders on my block It's no stress  I done this shit here with no sweat Big TEC  pussy boy  shoot at your neck No flex  I really brought it up out the 'jects No test  we really at it so cut the check What's next? A hundred shooters with no vest No warning  a few killers with no regrets We slum Please don't make me take off the safety I run things  see  things don't run me We slum Please don't make me take off the safety I run things  see  things don't run me We slum Please don't make me take off the safety Please don't make me take off the safety Please don't make me take off the safety I run things  see  things don't run me We slum I've been in the back  back of that Pontiac  wearin' all black Sittin' with a bag of smack  a duffel bag of dope A nickelbag of funk  two gats  and a dimebag of crack Shawty Fatt  nothin' but trouble  Big Henri Yeah  motherfucker  these pockets gotta get filled up So I got the box if you got the bubble Chevrolet  several day  every day Up them streets  them boys  they peddlin'Turn that stomach upside down with violence  that's unsettling Ten toes down since they found prints of the brown Timbs In the ground with rounds spit from pistol meddlin'Creek Water  bitch  made on South Eleventh Oakley or States  bitch  231 shit Trunk Muzik  goddamnit  pop the trunk and didn't panic Waldon Park  took that shit to another planet So fuck you if you hatin'  homie  I got all this credit on me The streets are like wipers zonin'  twistin' verses  Rigatoni Sick of phonies but I never get lonely  they keepin' my violet And ever since Fatt closed his eyelids  he became my pilot  yeah We slum Please don't make me take off the safety I run things  see  things don't run me We slum Please don't make me take off the safety I run things  see  things don't run me We slum Please don't make me take off the safety Please don't make me take off the safety Please don't make me take off the safety I run things  see  things don't run me We slum2Embed
351,1,5,FN,"regex,roberta,llama,qwen,bert",Fall In Love With Me,['Iggy Pop'],Fall in Love with Me Lyrics You look so good to me Here in this old saloon Way back in West Berlin A bottle of white wine White wine and you A table made of wood And how I wish you would Fall in love with me You look so good to me Standing out in the street With your cheap fur on Or maybe your plastic raincoat And your plastic shoes They look good too Standing in the snow You're younger than you look Fall in love with me Fall in love with me How I wish you would A table made of wood And a  a bottle of white wine And you  and a  a bottle of white wine and you And when you're standing In the street and it's cold And it snows on you And you look younger than you really are I wish you would fall in love with me I wish you would fall in love with me I wish you would fall in love with me I wish you would fall in love with me Yeah  yeah The way your eyes are black The way your hair is black The way your heart is young There's just a few like you Just the kind I need To fall in love with me Oh  and you look so good Oh yes  you look so good You might also like A bottle of white wine A cigarette and you Here in this saloon White wine and you I wish you'd fall in love with me I wish you'd fall in love with me Cause there's just a few like you So young and real There's just a few like you So young and real Fall in love with me Fall in love with me Fall in love with me Fall in love with me I wish you would You look so good Oh  when you're young at heart There's just a few like you You're young at heart Won't you Come to this old saloon Come to my waiting arms A table made of wood And I will look at you Because you're so young and pure And you're young at heart You're young at heart A bottle of white wine And when you're tumbling down You just look better When you're tumbling down You just look finer Embed
356,1,5,FN,"regex,roberta,llama,qwen,bert",Monstrance Clock,['Ghost'],Monstrance Clock Lyrics To the sound of the monstrance clock  air is cleansed  assembled flock Black candles burn  all minds aligned To the sound of the monstrance clock  air is cleansed  assembled flock Black candles burn  all minds aligned As the parish sighs in smoke  enters lady revealed of cloak To the haunting sound of the monstrance clock  singing Come together  together as a one Come together for Lucifer's son To the sound of the end of day  mesmerized  the assembled sway Black candles burn  all minds aligned Hypnotizing horns of ram  paralyzing pentagram And the eerie sound of the monstrance clock  singing Come together  together as a one Come together for Lucifer's son Come together  together as a one Come together for Lucifer's son Come together  together as a one Come together for Lucifer's son Come together  together as a one Come together for Lucifer's son]Come together  together as one Come together for Lucifer's son Come together   together as one Come together  for Lucifer's son Come together   together as one Come together  for Lucifer's son Come together   together as a one Come together   forever as one You might also like8Embed
359,0,5,FP,"regex,roberta,llama,qwen,bert",Used 2,['2 Chainz'],Used 2 Lyrics I still fuck 'em like I used to I need to put that shit on You Tube Cause you know we got that dancefloor crazy Single ladies come and have my baby I still fuck 'em like I used too I need to put that shit on You Tube Cause you know we got that dancefloor crazy Hey  my nigga  come and grab your lady Yeah  I'm the nigga  yeah  don't forget it  yeah Gold Nefertiti   yeah  Lamborghini  yeah Man in my city  yeah  they call me Tity  yeah Bad bitch with me  yeah  she's sidity  yeah Got her hair fixed  yeah  kinda thick  yeah Shawty known to strip  yeah  for the rent  yeah Tryna do a split  yeah  oh shit  yeah Can you do a split  yeah? On a dick  yeah?You can’t do it with a dick in you You can’t do it like that with a dick in you  uh You can't do it with a dick in you You can’t do it like that with a dick in you  bitch!I still fuck 'em like I used to I need to put that shit on You Tube Cause you know we got that dancefloor crazy Single ladies come and have my baby I still fuck 'em like I used too I need to put that shit on You Tube Cause you know we got that dancefloor crazy Hey  my nigga  come and grab your lady Watch how I grab her  yeah  I'mma stab her  yeah Put it in her bladder  yeah  don't compare me  yeah Flyin' out to Cali  yeah  in my Ballys  yeah We go to Miami  yeah  that my family  yeah ATL my hood  yeah  understood  yeah Shout out to New Orleans  yeah  it's all good  yeah Watch how I do  yeah  I'm a fool  yeah Shawty want that wood  yeah that pussy good  yeah Let me see you twerk it  let me see if you can twerk it Let me see you twerk it  let me see if you can twerk it Let me see you twerk it  let me see if you can twerk it Let me see you twerk it  let me see if you can twerk it  bitch!You might also like I still fuck 'em like I used to I need to put that shit on You Tube Cause you know we got that dancefloor crazy Single ladies come and have my baby I still fuck 'em like I used too I need to put that shit on You Tube Cause you know we got that dancefloor crazy Hey  my nigga  come and grab your lady Get low like this Get low like this Up  do it  up  shake it Wipe  down  outfit I get money like I used to Chains on  I use two Guns on me like I used to I'll fuck ya ass on You Tube I still fuck 'em like I used to I need to put that shit on You Tube Cause you know we got that dancefloor crazy Single ladies come and have my baby I still fuck 'em like I used too I need to put that shit on You Tube Cause you know we got that dancefloor crazy Hey  my nigga  come and grab your lady36Embed
368,0,5,FP,"regex,roberta,llama,qwen,bert",ANKLES,['Jessie Reyez'],"ANKLES Lyrics Yeah Right here?Fight just to fuck  just to fight again World War III justified in bed Mess me up  now we ain't even friends But the truth is I'm kind of tired of Pretending that I was the guilty one I wasn't feeling up no one but you  yeah Lessons that I just can't seem to learn I never thought you'd leave me two for two again Lights out  strike out  I doubt You'll ever find anyone These bitches can't measure up  no Lights out  strike out  I doubt You'll ever find anyone These bitches can't measure up To my ankles Levels?  Levels? Ankles These bitches don't make it to my ankles Levels?  Levels? Ankles Strippers and liquor and cigarettes Apologize  but your Twitter said ""No regrets""I'd kill for a mute button in my head You are right  but I'm tired of Pretending that I was the guilty one I wasn't feeling up no one but you  yeah Lessons that I just can't seem to learn I never thought you'd leave me two for two again You might also like Lights out  strike out  I doubt You'll ever find anyone These bitches can't measure up Lights out  strike out  I doubt You'll ever find anyone These bitches can't measure up To my ankles Levels?  Levels? Ankles These bitches don't make it to my ankles Levels?  Levels? Ankles Two feet  you're shallow Too real  I know too well Backwoods  you high Backwards  two feet Shallow  too real I know two steps Backwoods  you high Backwards  boy Okay4Embed"
427,0,5,FP,"regex,roberta,llama,qwen,bert",Point Em Out,"['PHresher', {'label': 'spotify:artist:31W5EY0aAly4Qieq6OFu6I'}]","POINT EM OUT Lyrics Ayy  ... know what time it is Look  ayy Hah Yeah  yeah  yeah  yeah Ah  ayy   lil' nigga I've been trappin' trappin' since I had a beeper nigga When I was ballin' you was sittin' in the bleachers nigga And I can't do these ""Hello  nice to meet you"" niggas If you run up on me he gon' change ya features nigga Point 'em out  shoot-shoot-shoot-shoot-shoot-shoot Point 'em out  shoot-shoot-shoot-shoot-shoot-shoot Point 'em out  who?-who?-who?-who?-who?-who?Point 'em out  shoot-shoot-shoot-shoot-shoot-shoot Point 'em out Which one  big one  he ain't gettin' to it like He ain't ever ball  like he was on a bench I was shootin' them tree's like Dwayne Trap phone job like who?-who?His phone off  can't relay Plug just got  like every day So fine  just point I shoot-shoot Leave these niggas on mute Money gon' talk like uh-uh Got married to the money  I do Got a lil' baby that's cute Better die before I do it like you Can't tell my nigga my sins Gotta leave 'em in the desert like Clue No this ain't the gram'  so stop with the cappin'Wanna get blamin' and that's not a caption See his reaction after I trapped him RIP to him  his name ain't a status Get hit with the stick  I ain't talkin' Madden I took his bitch  'cause she love the fashion I got the drip  you see me splashin'My niggas lit  you niggas has beens I've been trappin' trappin' since I had a beeper nigga When I was ballin' you was sittin' in the bleachers nigga And I can't do these ""Hello  nice to meet you"" niggas If you run up on me he gon' change ya features nigga Point 'em out  shoot-shoot-shoot-shoot-shoot-shoot Point 'em out  shoot-shoot-shoot-shoot-shoot-shoot Point 'em out  who?-who?-who?-who?-who?-who?Point 'em out  shoot-shoot-shoot-shoot-shoot-shoot Point 'em out You might also like Yeah yeah  gotta keep one in the head  yeah Brodie got one in the head Two make 'em move then it's over he dead  yeah Heard of a stupid ass  goofy ass nigga tryna plot and he was my mans  yeah We could've got money together I love you my nigga but now you're a dead man We could've been ballin' together  instead I just put a red dot to his headband I was just duckin' from feds Up in the jetski and hittin' the staircase My cuban link choked on my neck This akhi is tucked  you can't touch but it's heavy My chain like a hockey but you movin' wocky I'm covered in ice like I'm Gretzky I've been trappin' trappin' since I had a beeper nigga When I was ballin' you was sittin' in the bleachers nigga And I can't do these ""Hello  nice to meet you"" niggas If you run up on me he gon' change ya features nigga Point 'em out  shoot-shoot-shoot-shoot-shoot-shoot Point 'em out  shoot-shoot-shoot-shoot-shoot-shoot Point 'em out  who?-who?-who?-who?-who?-who?Point 'em out  shoot-shoot-shoot-shoot-shoot-shoot Point 'em out Yeah  yeah  yeah One in the  head-head-head Yeah  yeah  yeah Yeah  yeah  yeah One in the Embed"
440,0,5,FP,"regex,roberta,llama,qwen,bert",Lost In Translation,['Logic'],Translations Italiano Lost in Translation Lyrics Yeah  turn my headphones up just a little more Just a little bit Chillin' with my homies and we vibin’All this potion that I'm sippin'  I ain’t drivin'Life a motherfucker  but we still survivin'Colored people time  but nigga  we still arrivin'Chillin' with my homies and we vibin'All this potion that I'm sippin'  I ain’t drivin’Life a motherfucker  but we still survivin'Colored people time  but nigga  we still arrivin’ I'm feelin' like Andre pre-3K 'cause all I got is Benjamins Y’all know the regiment R-A-double-T-P-A-C-KRappin' like back in the day  yeah  you heard what I say From EBT and watchin' BET on my TV to platinum CDNow I got it like that  the boy brought it like that Yeah they gon' bring it back Like the illest sample from the '70s  I'm feelin' heavenly Grew up in Maryland and now my neighbor is Beverly Even when Bobby Boy over the hill and he's 70I'ma be packin' that weaponry  I am the greatest alive You already know it  I don't gotta say it  this shit is telepathy If you feel different  then step to me'Cause I've been ballin  shot-callin'Droppin' heat back to back while y'all stallin'Y'all wanna ante up  but I'm all-in Climbin' the ladder  ain't no way I'm fallin'Come here  my darlin'  married to the game Come now  feel the pain But I got a side bitch and that's real We love to make movies  I told you  that's reel That's just how I feel Tell me what I  tell me what I really wanna give for a life like this No  the boy won't fade away Take it day-to-day  everybody wanna hate straight-away That's how we livin' in the world today I'm Louis  you more C.K.Was a outcast on the come up back in the day And now I'm more Andre post-3K  like woo You might also like Break it down Break-break-break-break-break it down Break it down Break-break-break-break-break it down Ayo  ayo Fuck you like Cee-Lo  buck it then I reload Sippin' Pellegrino  shoot the shit like Tarantino In the cut like Lilo with everybody we know We all in together like we cousins in the '90s And if you don't know 'bout that shit Then you don't know 'bout rap shit  that's jack shit You ain't got a nickel  son  yeah  I said that's Jack shit You ain't got a dime dog  you dropped it  that's rat shit Stab you in the back shit  ratchet My style is impeccable and nobody could match it I'm Bruce Wayne terrorizin' Gotham  I'm batshit I'm Kim Kardashian with a hatchet Constantly reshapin' this body of work  I'm an introvert Wonder why I smoke dope  no wonder why I can't cope Far from evil  I'm kinda like Spike Spiegel A cowboy paid for retrieval Bitches jumpin' to conclusions like Evil Knievel Best believe you  bitch  I'll leave you stranded Try to dap me up left-handed I'll leave you defeated and amputated 'til the blood coagulated I force the crowd to throw they hands up like cannibals My God  what a fuckin' animal Sicker than givin' brain to Hannibal Lecter You come correct but I come correcter Food for thought  but hold the lecture Ayo  I kill the pussy  yeah I make sehctib cremate I'm an original screenplay in a world full of remakes I record my shit the first time  you need more than three takes Lyrically  I'm undefined on this fuckin' beat tape  my god Break-break-break-break-break-break-break-break-break-break Break it down Break-break-break-break-break-break-break-break-break-break Break it down Okayコンフェシャンス（コンフェッションズ）オブデンジャラスマインドご参加いただきありがとうございました。最高だったでしょう！？楽しんでいただけたことを願っています。もし、ロジックをお気に召さないのであれば、耳を塞ぐか、帰っていただいて結構。でもそんなあなたは、本当はロジックを愛してやまないんでしょう。毎日、彼の行動が気になって仕方ないはず。おそらく、あなたは気付かないうちに虜になってしまったのね。世界中で聴いてる、Ratt Pack のみんな！私たちは共に歴史を刻んできた。いつもあなたたちを愛し、感謝しています。Marylandから日本へ愛を込めてRatt Pack  motherfucker Arigato Ratt Pack  motherfucker Kyaah!61Embed
445,1,5,FN,"regex,roberta,llama,qwen,bert",Legalize It,['Cypress Hill'],"Legalize It Lyrics""Marijuana plant is a hemp plant It's used for many other things than just smokin'""""One acre of hemp produces four times as much paper than an acre of trees""Legalize it Legalize it""Pot herb Marijuana""Legalize it""Every denomination  every color  every religion""Legalize it""George Washington grew hemp on his farm""Legalize it""Genesis 1:12  'I have given you all the seed bearing plants on earth to use'""You might also like Embed"
468,0,5,FP,"regex,roberta,llama,qwen,bert",Lotto,['Joyner Lucas'],"Translations Português Lotto Lyrics Mally Mall It's my birthday  I'm 'bout to get lit-lit Might blow a bag on the drip-drip Make it all back on a quick flip  ayy I just need cake and a thick bitch  ayy I ain't have much  just a wishlist Now the broke nigga doin' big shit I got the gun lock  loaded  I'm ignant So keep one eye open like Slick Rick I got the drip game  nigga  I'm the big mane Switch lanes on 'em  hit the mid range Keep the big strap on me like a hitman It go ""click-clack  willow-wallow  bing bang"" I ain't never been shit  ain't shit changed But niggas get lame when you get fame Can't sleep at night 'til I get brains Got a mean ass pipe and a dick game I got a bitch on my sofa I got a chip on my shoulder You gotta live with your karma And if you get hurt then you got what you supposed to I got hitters all over   told 'em this is all over I take the kids on drugs and line 'em all up and get 'em all sober I got a little check that I cashed out  ayy Credit card maxed out  ayy I get lit then I act out  ayy I ain't wanna do it but I blacked out  ayy They say I need to be safe I think I need to be straight Fix your vibes  you need to be laced You just need God or you need to meet Mase I left my bitch  maybe we just need space I got gunners like Chris  like Niecey I got brothers like Tip  like Breezy I got stunners like Wayne  like BG I got a hood bitch all about the bread And she only give me head 'cause the bed too squeaky I'm too smart for a ho tryna G me A bitch be dumb if she ever try to leave me  word You might also like I say  uno  dos  tres  cuatro Moreno  gringo  hembra  vato Gangsters  hustlers  killers follow I'm the realest nigga  I know I just hit the fuckin' lotto  oh I just hit the fuckin' lotto I say  uno  dos  tres  cuatro Moreno  gringo  hembra  vato Gangsters  hustlers  killers follow I'm the realest nigga  I know I just hit the fuckin' lotto  oh I just hit the fuckin' lotto Why do I feel like Manson? Smoke y'all niggas  I feel like I just got cancer  ayy Murderin' streets  my anthem All of y'all clowns is banter  ooh Still can't pull your pants up Kidnap kids like Amber Hold a lil' nigga for a ransom I moved from the trap to the mansion Went from the Uber to a Phantom You niggas gassed up  don't amp 'em I've never been pretty  but my mom think I'm handsome I hate niggas that flex on camera Lil' kids always tryna throw tantrums All you motherfuckas dry like dandruff You can get washed and I'll throw you in a hamper I got a bitch on my sofa I got a chip on my shoulder You gotta live with your karma And if you get hurt then you got what you supposed to I got hitters all over   told 'em this is all over I take the kids on lean and get 'em all clean and give 'em all soda Watch how I do it  I demonstrate  ooh I ain't gotta move  I renovate I don't really pray  I meditate  yeah I ain't gotta jump  I levitate Always on time  I'm never late I was outside like every day Tryna turn water into lemonade Now I'm boo'd up like Ella Mai  I just wanna get away  woah You don't want war with a rich nigga You should hit the gym  get a bit bigger I ain't got patience for bitch niggas Wrap you in the basement with Big Tigger Your bitch is a thot  you had kids with her Your watch little lit  but my wrist litter He thought he had a plan 'til the fist hit him I say  uno  dos  tres  cuatro Moreno  gringo  hembra  vato Gangsters  hustlers  killers follow I'm the realest nigga  I know I just hit the fuckin' lotto  oh I just hit the fuckin' lotto I say  uno  dos  tres  cuatro Moreno  gringo  hembra  vato Gangsters  hustlers  killers follow I'm the realest nigga  I know I just hit the fuckin' lotto  oh I just hit the fuckin' lotto10Embed"
