index,label,n_failed,error_type,models_failed,song,artists,lyrics
760,0,4,FP,"regex,llama,qwen,bert",Deep Pockets,['Drake'],Translations Español Русский Português Deep Pockets Lyrics For my nigga Hush Yeah  look Dressed in fatigues  I rep the East with my trustees Smokin' on crushed leaves They turn they back on everything we built  then they must bleed I've seen splatter hit the snow when the blood freeze Straps over territory they know we must keep Get home and white Air Forces get brushed clean Back when my mama would interrupt sleep To tell me hurry up 'cause the bus leaves Summertime heatwaves  I used to just cut sleeves My shorty really love me  man  she want me to cut keys I can't do that normal type of life  is it just me?Niggas steady try to ride the wave  but it's rough seas I'm losin' enough sleep dealin' with envy And the news that they sent for me got the block in a frenzy It's on Meech like it's trendy Runnin' round from Laurier to Mac Kenzie when the city's empty  yeah Early twenties  but I want fifties  hundreds  not pennies I need plenty Got me ready to flip the F out like Fendi Whatever's in me  it's takin' over I gotta bust it down  break it open Until somebody starts takin' notice  then we rollin'Yeah  then we rollin'  then we rollin'Deep pockets on a nigga  I can't find my phone in Now we rollin'Yeah  then we rollin'  then we rollin'Deep pockets on a nigga  I can't find my phone in Now we rollin'Look Back when Big Apple sold dreams  I stuck to my own thing Back when the house that I own now was my home screen Before I'd ever hit the road and feel like the home team Runnin' missions Pyramid schemes just like the Egyptians Back when hotlines were still flippin'Now I'm seein' money off of hotlines blingin' but it feels different Transitions  plans switchin'  ambition Mindin' my business  buildin' a business  et cetera Inspired by a few  but my mind really drives itself like Tesla I always had a little somethin' extra Back when Corey was our sole investor And the car could get from A to B  but won't impress ya Look  I ain't no baller Still need my accounts longer like the way my nephew's gettin' taller My soundtrack is the second Carter  dreamin' of acceptin' offers And easin' tensions Keepin' family out of East Detention And out of Pine Hill Funeral Center Spots we got no business enterin'Back when Jill Scott was the apple of my afrocentric eye I had to find a way to get someone's attention You might also like Then we rollin'  then we rollin'Deep pockets on a nigga  I can't find my phone in Now we rollin'Yeah  then we rollin'  then we rollin'Deep pockets on a nigga  I can't find my phone in Now we rollin'19Embed
785,1,4,FN,"regex,roberta,llama,bert",Chien de la casse,['GIMS'],"Chien de la casse Lyrics4-88  eh ouais  tu connais J'suis en bas d'chez moi  j'ai pas encore décollé Elle est bonne  j'en ai eu un torticolis Va leur dire que les loups sont partis fourrés Faut pas t'affoler  j'vais pas t'dévorer J't'aurais bien proposé une partie d'volley Rien dans la poitrine  donc rien à voler Jeune noir ne pense qu'à batifoler Si tu danses  tu auras du jaune  du violet Du jaune  du violet  si tu fermes les volets J'veux bien qu'on s'clashe à St-Honoré Et on verra laquelle des cartes s'arrête la première J'm'ennuie J'm'ennuie J'tourne en ville J'me ruine J'me ruine J'me ruine J'tourne en ville J'me ruine Fonce-dé  j'me rappelle du trois-quarts de ma nuit Apparemment  j'ai claqué 15K dans le vide Ça a plu à quelques filles donc  du coup  j'me suis dit Pourquoi pas en finir tous ensemble dans un lit ?Tous ensemble dans un lit  pousser le délire J'l'étrangle  j'lui demande : ""Tu fais quoi dans la vie ?""Moi  j'me balade  j'suis côté de Rivoli C'est du sale qui se passe sous les yeux d'Mona Lisa Chien de la casse  j'fais des ce-tru bizarres J'quitte pas la ville  pas besoin de visa Feux d'position dans le blizzard J'fais du sale  on oublie ça J'm'ennuie J'm'ennuie J'tourne en ville J'me ruine J'me ruine J'me ruine J'tourne en ville J'me ruine You might also like1Embed"
888,1,4,FN,"regex,roberta,llama,bert",Gunshot,['GIMS'],"Gunshot Lyrics Ce genre de vie  Fuego Lando Fuego  Fuego  Fuego  Fuego Waraoui  Warano Ha  tu t'attendais à quoi ?J'suis rentré dans l'club  la lumière s'est allumée J'ai demandé la table la plus éloignée Elle est venue m'voir genre : ""On peut discuter""J'te rassure  je n'recherche pas tes qualités Je vais te gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Je vais te gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Et  là  j'suis sapé tout en jean  Richard Valentine J'la joue connaisseur avec une petite paire de Teen Mon ami sur le côté qui m'demande si y'a des filles J'lui réponds : ""T'as pas compris  tu marches avec le Waraoui""C'est trop facile  ne bouge plus  reste assis Quand j'envoie  c'est pour de vrai  ça s'entend dans toute la ville Des gens mal intentionnés et quelques meufs à l'affut Aujourd'hui  ma chambre d'hôtel deviens la maison Batiatus Chut  c'est pas d'la flûte Si t'insistes  monte dans la suite Je vais te gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités You might also like Je la ramène voir un film pour qu'elle fasse pas de cinéma Elle dit qu'elle s'appelle **** et qu'elle habite en Seine-et-Marne Elle veut la jouer fine  elle me demande si je viens de Kin'Ma chérie  j'parle pas beaucoup  c'est bien pour ça qu'j'ai écrit un livre J'ai choisi cette fille  c'est l'fuego toute la nuit Tu n'me reverras plus  ma voiture roule très très vite J'm'arrête au feu  j'me décris en deux-deux J'ai la même couleur que la carte bleue Je vais te gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Tout c'qui s'passe ici  ça reste ici Donne ton téléphone  on va tout effacer Tout c'qui s'passe ici  ça reste ici Donne ton téléphone  on va tout effacer J'ai dit : ""Tout c'qui s'passe ici  ça reste ici Donne ton téléphone  on va tout effacer Tout c'qui s'passe ici  ça reste ici Donne ton téléphone  on va tout effacer Je vais te gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités4Embed"
894,1,4,FN,"regex,roberta,llama,bert",Chien de la casse,['GIMS'],"Chien de la casse Lyrics4-88  eh ouais  tu connais J'suis en bas d'chez moi  j'ai pas encore décollé Elle est bonne  j'en ai eu un torticolis Va leur dire que les loups sont partis fourrés Faut pas t'affoler  j'vais pas t'dévorer J't'aurais bien proposé une partie d'volley Rien dans la poitrine  donc rien à voler Jeune noir ne pense qu'à batifoler Si tu danses  tu auras du jaune  du violet Du jaune  du violet  si tu fermes les volets J'veux bien qu'on s'clashe à St-Honoré Et on verra laquelle des cartes s'arrête la première J'm'ennuie J'm'ennuie J'tourne en ville J'me ruine J'me ruine J'me ruine J'tourne en ville J'me ruine Fonce-dé  j'me rappelle du trois-quarts de ma nuit Apparemment  j'ai claqué 15K dans le vide Ça a plu à quelques filles donc  du coup  j'me suis dit Pourquoi pas en finir tous ensemble dans un lit ?Tous ensemble dans un lit  pousser le délire J'l'étrangle  j'lui demande : ""Tu fais quoi dans la vie ?""Moi  j'me balade  j'suis côté de Rivoli C'est du sale qui se passe sous les yeux d'Mona Lisa Chien de la casse  j'fais des ce-tru bizarres J'quitte pas la ville  pas besoin de visa Feux d'position dans le blizzard J'fais du sale  on oublie ça J'm'ennuie J'm'ennuie J'tourne en ville J'me ruine J'me ruine J'me ruine J'tourne en ville J'me ruine You might also like1Embed"
945,1,4,FN,"roberta,llama,qwen,bert",Snoopafella,['Snoop Dogg'],"Snoopafella Lyrics Once upon a time  in the L.B.COn the Eastside  off of 2-1 Street There lived a young man  Cinderfella's his name To make it interesting it's me  peep game I lived in a house with my cruel step-dad And two step-brothers who treated me bad I cooked  I cleaned  I scrubbed the floors And I was like an errand boy runnin to the stores My brothers  they used to boast and brag:""We've got Fubu  and you've got rags!""And even worse than that  to make me feel low They gave me a skateboard  while they had low-lows Girls used to say  ""Snoop  you're so cute But you gets no rap with that to' up khaki suit""Welllll  one day  up the Avenue There was a man  surrounded by the Dogg Pound crew He said ah  ""Hear ye! Hear ye! Come one  come all!The princess is having a royal ball If you can rap  also dress fresh You might win a date with the sweet princess""Well I  um  ran home when I heard the newsflash I bust through the door  straight to my step-dad I said  ""Step-dad  may I?""And before I could finish  ""Hell no!""  he replied My brothers were goin  they were gettin down Even Pops was goin for a piece of the crown They flaunted  they haunted  they knew what I wanted""We can and you can't "" is what they taunted They all stood there  laughin in my face And as they walked out they said  ""Clean up this place!""And I'm the rapper Doggy Dogg you love And I'm the rapper Doggy Dogg you love And I'm the rapper Doggy Dogg you love And I'm the rapper Doggy Dogg you love Well I shrugged  I hissed  they all tried to diss And I'd get them back if I had one wish Before I could make my thought a phrase There appeared a man from a puff of haze He said  ""What's up  Dogg? My name is Herb I'm your fairy Doggfather  you know it  word!Now I've came here with the main purpose Of granting you your fondest wish""I said  ""Herb  my man  just make me fresh And I'm sure that I can handle  all the rest""With a snap of his fingers sparks began to shoot And I was jumpin in my body: a slick silk suit On my feet was some white tube socks And a fresh pair of Chucks from the Foot-lock I showed him my sack  and don't you know With a snap  the sack became some doe-doe Once again his hands began to flow Then he changed my skateboard into a six-fo' He checked me over  passed me the keys And said  ""One more thing before you leave...You must return before the stroke of twelve Or you'll turn back into your old self""You might also like And I'm the rapper Doggy Dogg you love And I'm the rapper Doggy Dogg you love I jumped in the low-low and went on my way I got to the party 'bout ten  I'd say It was after eleven when I rocked the mic And by the time I left the stage  the people were hyped The princess was starin  while holdin a drank Reflected from her eyes was gold tank She waved her hands like  ""Hello! Hi!""Then gave another gesture like  ""Come here  guy!""I left the stage  girls came in flocks The bitch was swingin from the hard knocks I heard a sound  not a tick nor tock Gong! First bell before twelve o'clock No time to waste  I broke out in haste The princess followed in a futile chase A quick steady pace is what I kept Lost one of my Chucks on one of those steps For the six-fo' I continued my stride About this time I heard gong five I was down the block when I heard gong eight And the princess screamed out  ""Wait! Wait! Wait! Wait!""And I'm the rapper Doggy Dogg you love And I'm the rapper Doggy Dogg you love I was almost home when my luck ran out And there went my suit  my doe sack and clout My fresh low-low  also went too And there was no denyin that my night was through The one All-Star  the freshest thing I sported Jumped on my board  for home I skateboarded Made it to my pad  no time at all Went to my room  or better yet the far wall Hid the shoe away  still feelin pleased Then jumped in my cot to catch some Z's Early the next mornin  when I awoke I threw on me old slippers with me old housecoat Slid into the front  my family stared at me Sayin  ""Wasn't that you? Nah  it couldn't be""They kept askin me if I did my chores My butt was saved by a knock at the door""Who is it?""  that's what my brothers barked""The princess "" this sweet voice remarked She said she was lookin for a certain man Who could bring her the shoe like the one in her hand The family ran around with their heads in the air Bringin her shoes from everywhere She just shook her head  a nod of relief And said  ""No  that's not the one that I'm lookin' for  Chief""I ran in the room and got my shoe And said  ""Is this the one you're referring to?""Well she said  ""Yes  and you're so cute But where's your doe-doe and slick silk suit?""I put on the shoe  then there came a flash of light And I was wearin shit  from just last night Looked out the window  saw the six-fo'Yelled to my family  ""I've GOT to go!""We drove up the Avenue  the princess and IAnd in back of me  I heard my family cry...And I'm the rapper Doggy Dogg you love And I'm the rapper Doggy Dogg you love1Embed"
969,1,4,FN,"regex,roberta,llama,bert",Devour,['Marilyn Manson'],Devour Lyrics I'll swallow up all of you Like a big bottle of big  big pills You're the one that I should never take But I can't sleep until I devour you I can't sleep until I devour you You're a flower that's withering I can't feel your thorns in my hand This is no embrace  your buried deep And you're not crying  this is blood all over me You're not crying  this is blood all over me You're not crying  this is blood all over me And I'll love you  if you let me And I'll love you  if you won't make me stop I used to hold your haunted neck I know I'll miss you  if I close my eyes But this is loaded if I open them I'll see you and I'll blow your heart to pieces I will blow your heart to pieces I will blow your heart to pieces I will blow your heart to pieces And I'll love you  if you let me And I'll love you  if you won't make me stop My pain is not ashamed to repeat itself My pain is not ashamed to repeat itself My pain is not ashamed to repeat itself My pain is not ashamed to repeat itself I can't sleep until I devour you I can't sleep until I devour you I can't sleep until I devour you I can't sleep until I devour you You might also like And I'll love you  if you let me And I'll love you  if you won't make me stop...3Embed
1012,0,4,FP,"regex,roberta,llama,bert",4 Da Kidz,['Kid Cudi'],4 da Kidz Lyrics Mm-mm  hm  yeah Nah-nah-nah-nah-nah-ah  nah-nah-nah  nah-nah Yeah This song is dedicated to you We got you Yeah Do it all day for the kiddies Real-life dreamers in the suburbs and the cities Ridin' 'round town  windows up  steamin'  beamin' Singin' along to it in the cut  heavy streamin' Mama don't know what a lil' nigga feelin' Daddy been gone and my brothers stay trippin' For every lil' homie that's lonely This is all for you  give a fuck about the phony All in the plan  as you grow  make the moments last Even though in life  it seems the shit moves fast Codе to the realest  hands high  feel this Smoke one to the head  but remember  shit's vicious Never lose hope  if you don't  you'll be golden Always keep your family close  keep your heart open Here's to the chosen  solo dolo rollin'  hm This is just the right vibe  turn it loud if you need to Stars in the sky  they will light your way through Feelin' alone  just know you are not We won't leave you alone  oh-oh This is just the right vibe  turn it loud if you need to Stars in the sky  they will light your way through Feelin' alone  just know you are not We won't leave you alone  oh-oh Since day one  I been tryna feel alive Doin' what I wanna  go fast and hold tight Seein' what I'm seein'  the pain  I will write Ooh  we're children in the night Nigga with a vision  hope it come into fruition Yeah  I know it well  dreamin'  intermission now Things are gettin' better  waited my whole life  oh  my  my  my  my As we glidin' through the streets This is just the moment where you truly feel free Got my blunt up to the heavens   tell 'em not to worry  no Guided by the moon  how I do what I do Everything's copacetic  push the limit Been in this hell so long I know soon  peace will find you You might also like This is just the right vibe Stars in the sky Feelin' alone  just know you are not We won't leave you alone This is just the right vibe  turn it loud if you need to Stars in the sky  they will light your way through Feelin' alone  just know you are not We won't leave you alone  oh-oh12Embed
1062,0,4,FP,"regex,roberta,llama,bert",I WISH,['The Kid LAROI'],Translations Français I WISH Lyrics Rio Yeah  I wish there was a way I could take away the pain Yeah  I wish there was a way I could give you everything Damn  I wish there was a way I could tell you everything But I can't  I wish I could  this shit affects me every day Yeah  I wish there was a way I could take away the pain Yeah  I wish there was a way I could give you everything Damn  I wish there was a way I could tell you everything But I can't  I wish I could  this shit affects me every day Every night I saw it  skeletons in my closet Still got all these problems  I thought money would solve 'em Blood all on the walls and tears drop down  they fallin'I don't even wanna think about all that  but it's like I can't help it You say you can't help me  I gotta help myself but I need help with that 'cause I feel so helpless I feel like I've been to Hell and back by myself and There ain't nothin' in the way no more  only myself is I'm in the way  I'm in the way of myself I'm in the way  I'm in the way  I need help Need it today  I wish I could kill this pain I wish I could kill this pain  I wish I could kill these days You might also like Yeah  I wish there was a way I could take away the pain Yeah  I wish there was a way I could give you everything Damn  I wish there was a way I could tell you everything But I can't  I wish I could  this shit affects me every day Yeah  I wish there was a way I could take away the pain Yeah  I wish there was a way I could give you everything Damn  I wish there was a way I could tell you everything But I can't  I wish I could  this shit affects me every day17Embed
1126,1,4,FN,"roberta,llama,qwen,bert",Can I Kick It,"['Logic', {'label': 'spotify:artist:2txTOM1PXeT6aMDnEtSbn1'}]",Can I Kick It Lyrics Okay Oh  oh  oh  oh Wonderful beauty queen You're the only one for me It don't matter how it seems But you can come kick it with me Well  can I ask you  baby?Can I kick it? Can I kick it? Can I kick it? Well  I'm gone  gone Ayy  it's the Bobby Boy  better known as chocolate and vanilla Ain't another iller  I'm the nuke to Godzilla I feel a sensation  vibration comin' on Walk up in the spot like a motherfuckin' don What's up with you  shorty? Tryna get to know you I know we went to school together  that's the old you Never told you how I felt  I feel I owed you Never really tried to talk to you because of old you But beautiful  beautiful  beautiful girl Don't you walk out my world Everything that the boy feel for you  girl It compiles my world Tell me that you're satisfied Without me right by your side No  no  please don't run and hide Let your man give you a ride No  no  please don't run and hide Skippity  bop  bop  na  na  na  na La da-da-da  la da-da-da  da da da da You might also like Can I kick it? Can I kick it?  Can I kick it? Well  I'm gone  Can I kick it? Can I kick it? Can I kick it? Well  I'm gone Wonderful beauty queen You're the only one for me It don't matter how it seems But you can come kick it with me Well  can I ask you  baby?11Embed
1147,1,4,FN,"regex,roberta,llama,qwen",Scared Of Love,['Nate Dogg'],Scared of Love Lyrics I'm just a man I'm just a man I'm just a man I'm just a man scared of love When they asked me Why I don't like love Or why I don't have a lady Maybe its because I know As soon as I tell her How I feel about her As soon as I act like I love her she's gone I'm just a man I'm just a man I'm just a man I'm just a man in love I really was so into you But you don't know what I'm going through You say you really care for me But in love there's no guarantee So  I think I outta take my time'Cause love ain't no friend of mine you see Don't let me get you too confused You're the friend I don't want to lose If I made a choice it's you I choose But my heart's a tad bit through So  I try to get you off my mind But a remedy I cannot find for you I'm just a man I'm just a man I'm just a man I'm just a man in love You might also like I'm never gonna try to find Another I'm just out for mine I left so many far behind But traces they'll never find No  I can cover all my tracks Won't be nothing gettin' back to you Now don't think that I'm being rude Because I won't commit to you And other women want to screw What's a player supposed to do So  I'll be slippin' on my hat I won't be bringin nothing back to you I'm just a man I'm just a man I'm just a man I'm just a man in love I'm just a man I'm just a man I'm just a man I'm just a man in love3Embed
1232,0,4,FP,"regex,llama,qwen,bert",Song for John Walker,"['DJ Krush', {'label': 'spotify:artist:5VVauvkJVd7QMI7IJ4Ccqg'}]","Song for John Walker Lyrics There's a little Johnny Walker Lindh in every Meadow Creek Middle School And when the rap tape grows up Each wave topples at first wind before the self settles in the body The names of prominent families Carry no weight in foreign cities And even the sons of senators Receive no welcome outside the States The names of prominent families Carry no weight in foreign cities And even the sons of senators Receive no welcome outside the States We hold these truths to be self-evident Once a-fucking-gain we got a dollar model president Carving his face up for the cover of the next new nickel Combing every cotton coil of his inner white wig Curling perfect sers to his own thin lips in the mirror Working on his Contrapposto for stone Oh yeah whitey  you got empire guilt We know John Walker  we know John Booth Waste our days swatting this single song At a long line of Yale and bones born old men We know John Walker  we know John Booth Waste our days swatting this single song At a long line of Yale and bones born old men While the widows buy rubber grips to open bottles with It's dreams with dusty dashboards and chipping paint At least the animals have something to poison themselves with Director yelling ""Cut!"" on riot footage in the background is faint And at dusk the clanking of fork to plates syncs Man of the house drowning out the chatter of housewife To yet another unmanned spyplane crash Now televangelists have a basis for book sales And the promise of effective prayers that get results As well as God's insurance policy for guaranteed divinity Time to give the fallout shelters a makeover Grab a pen and pad of paper and Ikea catalogue today You might also like No matter what plastic you pray to or sponsorship you kill for Become a smart happy healthy pet rock if you can eat like us You'll make great soup and hot new imports for domesticated devils Don't worry  in thirty years we'll all be Johns and Sarahs But the names of prominent families Carry no weight in foreign cities And even the sons of senators receive no welcome outside the States The names of prominent families Carry no weight in foreign cities And even the sons of senators receive no welcome outside the States A flag stripes trying to tear free in heavy wind And separate themselves from any unified composition Oh  I heard the two parties split platforms at the turn of the century But I know I'm American by the coins I carry And that's fucking scary Blah blah blah blah blah blah blah And even the worn wigged hard news anchors are unaffected And every psychic and small-time prophet is aloof We've been injected to the point of immunity It takes an f load of s to stimulate the Desensitized tastebuds of the sugar-expecting community Till we can barely detect the weather man's insincerity Their tongues are fast and free Like a child's translucent un-braced teeth A low relief long horn On a roughneck's rawhide wallet Yeah America  you got it The audio haunting promise provides for even the smallest of sparrows So long as the ghosts are clean and clearly showing through you I've been helpful  metal man bides his time In the sands on Minus Island Everything is fine  your heart is working properly All my love and luck on the river Euphrates Don't take no wooden nickels  kid There's bikinis selling SUV's in the TV's in teepees Time to look for Job  the dorks have hit the desert The carbohydrate kings are back with fanny packs And daisy-cutters strapping parachutes to Lunchables To land on the lap of the new batch of bargain hunters Now we're not saying anything cause we're not supposed to But like Blockbuster hamster gave the Black Panthers cancer I know what you're thinking  it's like drinking the ocean But if you can fall in love in prison you can die a healthy plant He wanted Hammer pants  he joined the Taliban He sought an absolute truth  the alpha cliché But he got the omega and bucked How many more humans will wear gun spit in their guts Why  you can still smile on the cover of Life magazine No matter how many bullets you take Again we use the magnets poorly Again we use the magnets poorly Again we use the magnets poorly Again we use the magnets like shit What is it with all these men in their fifties Wanting to win the world over like there's no tomorrow already?No matter what you do  G.WThere'll be no dollar for you Woe is the billionaire Woe is the billionaire No matter what you do  G.WThere'll be no dollar for you Woe is the billionaire Give him a bomb to suck on Embed"
1233,0,4,FP,"regex,roberta,qwen,bert",Touch The Sky,"['Kanye West', {'label': 'spotify:artist:01QTIT5P1pFP3QnnFSdsJf'}]","Translations English Touch the Sky Lyrics I gotta testify Come up in the spot lookin' extra fly'Fore the day I die  I'ma touch the sky Gotta testify Come up in the spot lookin' extra fly'Fore the day I die  I'ma touch the sky Back when they thought pink Polos would hurt the Roc Before Cam got the shit to pop The doors was closed I felt like Bad Boy's street team: I couldn't work the locks Now let's go  take 'em back to the plan Me and my momma hopped in that U-Haul van Any pessimists  I ain't talk to them Plus I ain't have no phone in my apart-a-ment Let's take 'em back to the club Least about an hour I stand on line I just wanted to dance  I went to Jacob an hour After I got my advance  I just wanted to shine Jay favorite line: ""Dawg  in due time!""Now he look at me  like  ""Damn  dawg! You where I am!""A hip-hop legend I think I died in that accident  ‘cause this must be Heaven I gotta testify Come up in the spot lookin' extra fly'Fore the day I die  I'ma touch the sky Gotta testify Come up in the spot lookin' extra fly'Fore the day I die  I'ma touch the sky Now let's take them hi-ah-igh-igh-igh-ighhhh A-la-la-la-lah-la-lahhhhh Now let's take them hi-ah-igh-igh-igh-ighhhh A-la-la-la-lah-la-lahhhhh Back when Gucci was the shit to rock Back when Slick Rick got the shit to pop I'd do anything to say I got it Damn  them new loafers hurt my pocket Before anybody wanted K. West beats Me and my girl split the buffet at KFCDog  I was havin' nervous breakdowns Like ""Man  these niggas that much better than me?""Baby  I'm goin' on an aeroplane And I don't know if I'll be back again Sure enough  I sent the plane tickets But when she came to kick it  things became different Any girl I cheated on  sheets I skeeted on Couldn't keep it at home  thought I needed a Nia Long I'm tryin' to right my wrongs But it's funny them same wrongs helped me write this song You might also like I gotta testify Come up in the spot lookin' extra fly'Fore the day you die  you gon' touch the sky You gon' touch the sky  baby girl  testify Come up in the spot lookin' extra fly'Fore the day you die  you gon' touch the sky Yes  yes  yes  guess who's on third?Lupe steal like Lupin the 3rd Here like ear 'til I'm beer on the curb Peachfuzz buzz but beard on the verge Let's slow it down like we're on the syrup Bottle-shaped body like Mrs. Butterworth But  before you say another word I'm back on the block like I'm layin' on the street I'm tryna stop lyin' like I'm Mumm-Ra But I'm not lyin' when I'm layin' on the beat  en garde Or touché  Lupe cool as the unthawed But I still feel possessed as a gun charge Come as correct as a porn star In a fresh pair steps in my best foreign car So  I represent the first Now let me end my verse right where the horns are  like uh I gotta testify Come up in the spot lookin' extra fly'Fore the day you die  you gon' touch the sky You gon' touch the sky  baby girl  testify Come up in the spot lookin' extra fly'Fore the day you die  you gon' touch the sky We back at home  baby!Sky high  I’m  I’m sky high!I’m  I’m sky high!I’m  I’m sky high!I’m  I’m sky high!I’m  I’m sky high!Sky  sky high! I’m  I’m sky high!Yeah  keep it rollin'!Yeah  uh  feels good to be home  baby!Feels good to be home!89Embed"
1252,0,4,FP,"regex,roberta,qwen,bert",Get It Anyway,['Cypress Hill'],Get it Anyway Lyrics I'mma do my thing. let me tell you right now'Cause I don't know any other way of living my life now Some of you know the struggle  some of you live in a bubble Some like you hustlin'  some of you just looking for trouble I don't follow or lead  tommorow's a dream Pray to God to intervene on all the sorrow I've seen You want out of here  you can leave when you wanna Nothing can stop you  if that's your type of persona Life is shorter now  don't make me say it ten times I keep going for mine  even in the end times I can beat the system  come on and say it with me Show me some optimism  we can take over the city This is for my real life representers  down since the first day Gangstas  hustlas  grinding out around the way Can't stop  gotta be always on the paper chase Have to get it  they won't give it  but I get it anyway Regardless what the haters say I'mma get it anyway I'mma get it anyway Regardless what the haters say I'mma get it anyway I'mma get it anyway There comes a time in your life you gotta go for yours Staying paid is like the battle of forever more I stay pedal to the metal  foot on the floor Earn my keep on the streets  knocking down your doors You might also like I'm by the dollar like everybody oughta be Don't burn nobody and make the money honestly Open your home with the internet technology I get it anyway despite of the economy See I ain't coughin' unless it makes a profit I'm dropping this so hot shit like every day gossip Regardless of the climate  I'm gonna get it everyday Even if the bullets spray  I'm gonna get it anyway This is for my real life representers  down since the first day Gangstas  hustlas  grinding out around the way Can't stop  gotta be always on the paper chase Have to get it  they won't give it  but I get it anyway Regardless what the haters say I'mma get it anyway I'mma get it anyway Regardless what the haters say I'mma get it anyway I'mma get it anyway La la la la la La la la la la La la la la la La la la la la So let 'em hear us holla or we'll guide us by the collar Making it harder for you  don't wanna make an honest dollar You wanna sip a little to make your pain numb Tippin' that bottle  got you forgettin' where you came from But I'm the same one  where you think my name's from I'mma keep it moving and never stop till the game's done Forever we live it  forever we spit it Remember the minute you witnessed the realest that ever did it Still I'm committed no matter what I hear from the critic People can see through a gimmick  I'm putting on a clinic We in troubled times  swerving through the double lines You run ahead on collision course  now you served your time This is for my real life representers  down since the first day Gangstas  hustlas  grinding out around the way Can't stop  gotta be always on the paper chase Have to get it  they won't give it  but I get it anyway Regardless what the haters say I'mma get it anyway I'mma get it anyway Regardless what the haters say I'mma get it anyway I'mma get it anyway La la la la la La la la la la La la la la la La la la la la La la la la la La la la la la La la la la la La la la la la La la la la la La la la la la La la la la la La la la la la3Embed
1264,0,4,FP,"regex,llama,qwen,bert",Desperation,"['Eminem', 'Jamie N Commons']","Desperation Lyrics Girl  you give me writer's block  I'm at a loss for words Uhh  my mind's as lost as yours I rack my brain but still no thoughts emerge Never seen no ass as large as yours How much that cost? That's what I call a Roethlissplurge You drive me bonkers  I’m about to get my swerve on for sure Thought I was pimpin' 'til I felt like Nas  the first Date 'cause I think I gave you power When I gave you flowers in a vase A box of chocolates  throat lozengers  cough drops and Certs Probably shoulda never let me call that job of yours To talk to your boss and ask him if you can take off from work Shoulda been one of the first signs to cause alert Man  we jumped in too fast'Cause since then I just can't be apart from her'Cause nobody's body's awesomer I lust her and she loves me 'cause I'm popular But you know this ain't love You know this ain't love  oh no You know this ain't love   oh no What is it then?It's desperation  It's desperation  And I here I go again You were obviously oblivious to me I swore I was just invisible to you'Til I went to the lengths I did to meet you'Cause you played so hard to get with me from The beginning  now I'm in disbelief  INever knew that this could be such misery  ah'Cause now you see nothing but me And I don't see nothing but you And I'm about to flip 'cause we are – super glued in We stuck to each other's hips and we can't Do anything individually  which is to cling on Scared to be alone  can't specifically describe it I just can't seem to give a reason That's definitive  just need ya Talkin' about I live and breathe ya And you pretend to be as mentally and physically Addicted to me as Wiz Khalifa is to reefer Don't wanna be without you Don't wanna be with you neither Bitch  put me in a situation in which it's both I wish to seek'Cause this ain't love You might also like You know this ain't love  oh no You know this ain't love   oh no What is it then?It's desperation  It's desperation  And I here I go again Just want you to myself Don't wanna share you with no one else""What the fuck you whisperin' for?You get on my nerves  you make me sick I think our relationship  it seems to be on the fritz I mean it's time that we just split and leave the Games behind  your frame of mind ain't the same as mine I think you need to finish developing a Little more mentally to get the picture""That's a negative  Alicia  I will never give the keys up To the crib ever again  no Visa Not even a gift certificate from Tiffany's You better have an epiphany  slut Guess what?  The lease up I'm just mad the time it took to discover You were usin' me for loot like I used you for looks Oh  thought you was too good for me  huh?Yeah  toots  used to be my Carrie Underwood I was your lumberjack But I can't stomach this  I'm leavin' you  I'm not comin' back She said  ""The fuck with that!Where's my Louisville Slugger at?""She grabbed that fuckin' bat And swung it at my head  I barely ducked and that's Right when she came up with a kick to the nuts twice Steel toe  girl probably coulda put a hundred-yard field goal Through the uprights You know this ain't love  oh no You know this ain't love   oh no What is it then?It's desperation  Lord  it's desperation  Desperation 31Embed"
